"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000125743",1659.56909277153,1581.34576829814,1954.87202194995,2364.85570529996,3572.81234043665,3715.16943007574,4662.57434330227,4191.22259887911
"ENSG00000125744",35.1347740447826,29.6651853659561,18.6596431067654,20.6020793603518,138.725505629379,142.753868590807,155.220144591369,174.727612353057
"ENSG00000125746",329.937487514287,307.656680488867,340.812893214745,377.412560197084,124.852955066441,171.304642308968,229.84521410645,180.327856338732
"ENSG00000125753",421.068307692942,435.886836586871,250.807555876229,301.141032352377,276.189870298491,256.956963463452,265.665247473689,253.131028152506
"ENSG00000125755",813.040630630048,832.060602441897,836.939874641684,908.683202425731,844.964443378946,870.79859840392,1002.96093428269,1024.84464937851
"ENSG00000125772",182.81062120176,149.761339024907,313.9210546197,283.169005676325,278.712152219026,271.232350322532,519.390483824964,441.299226071184
"ENSG00000125775",21.4102529335394,22.0096536586126,28.5382776927,17.9720266760516,20.1782553642734,42.826160577242,26.8650250254292,42.5618542911294
"ENSG00000125779",1129.25359703309,1239.23919512623,1095.97962600619,935.422071382784,1488.14633311516,1245.52750345479,1185.04610389949,1087.56738201807
"ENSG00000125780",0.548980844449729,0,0,0.876684228100079,0,0,0,0
"ENSG00000125787",14.2735019556929,9.56941463417938,14.26913884635,17.0953424479515,5.04456384106834,7.13769342954033,5.97000556120649,8.96039037707987
"ENSG00000125788",9.88165520009512,8.61247317076144,4.93931729296731,6.13678959670055,0,0,2.98500278060324,0
"ENSG00000125798",0,0,0,0,358.164032715852,306.920817470234,313.425291963341,327.054248763415
"ENSG00000125810",0,0,0,0,16.3948324834721,35.6884671477016,14.9250139030162,21.2809271455647
"ENSG00000125812",995.302270987358,1041.63078293043,1038.35425758824,917.011702592682,599.041956126865,424.69275905765,397.005369820231,378.576493431624
"ENSG00000125813",135.598268579083,119.617682927242,105.920915282521,117.914028679461,10.0891276821367,17.8442335738508,5.97000556120649,4.48019518853993
"ENSG00000125814",572.038039916617,573.686407319054,489.541225036316,449.30066690129,623.00363437194,674.512029091561,579.090539437029,556.664252176087
"ENSG00000125817",1609.06285508215,1523.92928049307,1451.06165806729,1560.49792601814,942.072297319512,977.863999847025,1408.92131244473,1295.89645828518
"ENSG00000125818",2058.67816668648,2080.86921220231,2187.01993471942,2466.98941787362,4014.21167653013,4179.11950299586,2232.78207989123,2366.66310834622
"ENSG00000125820",0,0.478470731708969,1.09762606510385,1.31502634215012,23.9616782450746,14.2753868590807,23.8800222448259,25.7611223341046
"ENSG00000125821",275.588383913764,246.890897561828,327.092567400947,350.673691240031,577.602559802325,524.620467071214,546.255508850394,454.739811636803
"ENSG00000125823",0,0.478470731708969,0.548813032551924,0.438342114050039,0,0,0,0
"ENSG00000125826",1810.53882499521,1631.10672439587,1687.60007509717,2086.50846287819,1268.70780602869,1563.15486106933,1170.12108999647,1161.49060262898
"ENSG00000125827",1307.67237147925,1345.45969756562,1548.75037786153,1473.70618743623,2488.23111460696,2034.24262741899,4223.77893455359,4005.2944985547
"ENSG00000125834",1128.70461618864,1130.14786829658,1066.89253528094,1125.6625488805,2088.44943020229,2062.79340113715,1799.95667670376,1680.07319570248
"ENSG00000125835",707.087327651251,679.906909758445,756.813171889103,1100.2387062656,3215.90944868106,3418.95515274982,3832.74357029456,3319.82463470809
"ENSG00000125841",541.844093471882,437.322248781998,402.27995286056,622.884144065106,1594.08217377759,1734.4595033783,1262.65617619517,1351.89889814193
"ENSG00000125843",169.635080934966,198.086882927513,210.195391467387,231.882978332471,411.131953047069,442.5369926315,486.555453238329,464.820250811018
"ENSG00000125844",4603.20438071097,4625.85503416231,4651.73926391011,4127.86768800922,2534.89333013684,2184.13418943934,2349.19718833475,2470.82764647977
"ENSG00000125845",0,0.478470731708969,0.548813032551924,0.438342114050039,235.833359569945,199.855416027129,199.995186300417,188.168197918677
"ENSG00000125846",303.03742613625,332.537158537733,255.198060136645,256.868478833323,118.547250265106,182.011182453278,134.325125127146,181.447905135867
"ENSG00000125848",1.09796168889946,1.43541219512691,0,0,625.525916292474,706.631649524492,782.07072851805,702.270595803635
"ENSG00000125850",106.502283823247,111.962151219899,153.667649114539,188.925451155567,16.3948324834721,10.7065401443105,20.8950194642227,30.2413175226446
"ENSG00000125851",0.548980844449729,0,0,0,2.52228192053417,0,0,0
"ENSG00000125863",366.170223247969,358.853048781727,365.509479679581,386.179402478085,2090.97171212283,1877.21337196911,2035.77189637141,1941.04456543493
"ENSG00000125864",96.6206286231523,103.349678049137,35.672847115875,33.752342781853,107.196981622702,49.9638540067823,122.385114004733,129.925660467658
"ENSG00000125868",5502.98398476408,5582.31802684854,5852.54217913371,5386.34789744688,1135.02686424038,852.954364830069,731.325681247795,882.598452142367
"ENSG00000125869",0,1.43541219512691,0,1.31502634215012,0,0,0,1.12004879713498
"ENSG00000125870",1018.35946645425,1089.47785610132,1328.12753877566,1111.19725911685,4048.26248245734,3925.73138624718,4408.84910695099,4144.18054939944
