Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000011485,1521,1746,1779,2223,494,179,301,767
ENSG00000011523,577,566,750,878,404,164,226,681
ENSG00000011566,1515,1620,1236,1271,850,290,245,786
ENSG00000011590,48,49,81,122,2,1,4,17
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,570,639,437,515,226,76,89,210
ENSG00000011677,179,218,181,236,255,69,64,181
ENSG00000012048,2071,2480,3458,3562,674,255,329,914
ENSG00000012061,465,575,529,775,801,333,340,786
ENSG00000012124,14,20,7,3,0,0,2,0
ENSG00000012171,488,531,243,532,299,121,88,244
ENSG00000012174,1878,2283,2266,2283,2872,1112,1260,3393
ENSG00000012211,521,647,431,673,116,37,63,138
ENSG00000012223,21,28,106,257,0,0,0,0
ENSG00000012232,1241,1424,868,1175,1436,501,581,1583
ENSG00000012504,2,4,0,1,0,0,0,0
ENSG00000012660,164582,203158,86541,96501,6637,2244,2869,7246
ENSG00000012779,16,14,7,11,59,23,20,35
ENSG00000012817,1947,2354,2081,2512,0,0,0,0
ENSG00000012822,3069,3084,1653,1918,1147,388,252,824
ENSG00000012963,1800,2044,1877,2189,522,163,202,539
ENSG00000012983,3468,3720,2256,2312,4195,1358,1040,2927
ENSG00000013016,570,694,710,1184,293,87,160,362
ENSG00000013275,3446,3977,3141,4393,1629,540,596,1643
ENSG00000013288,1876,2255,1893,2241,152,51,58,158
ENSG00000013293,0,2,0,0,3,1,2,0
ENSG00000013297,9,11,7,4,237,108,125,409
ENSG00000013306,3055,3535,3042,5457,4739,1717,2524,6235
ENSG00000013364,221,258,299,475,469,173,209,570
ENSG00000013374,3345,3879,4411,5124,986,317,418,1185
ENSG00000013375,1950,2506,2566,2750,1702,591,460,1367
ENSG00000013392,1585,2086,1857,2144,105,31,24,81
ENSG00000013441,11472,11641,4611,5038,2643,829,540,1232
ENSG00000013503,1353,1763,2623,2760,686,219,328,898
ENSG00000013523,1246,1348,1108,1528,125,56,94,264
ENSG00000013561,2437,2805,2363,2954,621,202,234,674
ENSG00000013563,438,482,268,415,71,33,41,91
ENSG00000013573,1144,1220,971,1193,257,85,136,338
ENSG00000013583,1337,1659,2122,2145,386,124,165,404
ENSG00000013588,3,4,9,5,11759,4153,2116,5767
ENSG00000013619,108,93,58,70,190,73,69,217
ENSG00000013725,0,0,0,0,10,3,6,14
ENSG00000013810,3979,4622,3701,4465,686,205,370,852
ENSG00000014123,3447,3761,4946,5166,739,289,346,973
ENSG00000014138,186,229,167,217,263,121,160,380
ENSG00000014164,232,286,207,332,240,110,96,314
ENSG00000014216,3914,4494,2800,4111,3392,1182,961,2502
ENSG00000014257,316,408,1202,1378,58,25,20,40
ENSG00000014641,2564,3076,2927,3608,1794,656,637,1674
ENSG00000014824,9357,10138,10440,12505,2078,739,545,1442
ENSG00000014914,211,295,195,187,855,375,241,620
ENSG00000014919,725,973,1020,1272,589,231,167,506
ENSG00000015133,4706,5266,3156,3934,126,50,53,185
ENSG00000015153,655,714,614,587,419,119,146,417
ENSG00000015171,6173,7226,7425,7847,1573,516,614,1777
ENSG00000015285,101,79,72,92,4,2,1,8
ENSG00000015413,2,0,0,1,0,0,0,0
ENSG00000015475,320,302,306,476,393,121,147,346
ENSG00000015479,283,243,243,251,77,14,30,101
ENSG00000015520,51,41,35,46,1,2,0,2
ENSG00000015532,818,913,829,1210,733,291,426,1125
ENSG00000015568,107,21,9,7,8,4,1,0
ENSG00000015592,68,76,20,147,0,0,0,0
ENSG00000015676,1861,2112,2090,3244,746,289,426,1083
ENSG00000016082,6,9,25,20,7,1,4,22
ENSG00000016391,1295,1488,1117,1331,41,19,39,109
ENSG00000016402,21,16,16,33,54,17,28,83
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,1,0,1,0,0
ENSG00000016864,1550,1712,1466,2067,860,351,400,936
ENSG00000017260,6353,7394,5712,6190,3044,1058,1006,2712
ENSG00000017427,269,308,80,91,0,1,0,0
ENSG00000017483,9,5,13,6,28,13,1,8
ENSG00000017797,3819,4579,3264,4049,239,82,95,318
ENSG00000018189,782,905,1004,1114,160,49,80,263
ENSG00000018236,0,0,0,0,866,308,264,779
ENSG00000018280,46,51,38,90,20,14,4,6
ENSG00000018408,134,189,174,198,2474,782,841,2611
ENSG00000018510,1880,2127,1761,1696,2596,798,903,2533
ENSG00000018607,0,0,0,0,0,0,0,0
ENSG00000018610,529,592,682,877,110,50,79,185
ENSG00000018625,30,22,7,5,30,17,11,24
ENSG00000018699,388,512,873,1010,639,236,356,924
ENSG00000018869,182,206,165,182,0,0,0,0
ENSG00000019102,5,2,3,14,27,12,14,23
ENSG00000019144,1196,1288,670,929,332,130,229,576
ENSG00000019169,1,3,2,2,36,14,30,52
ENSG00000019186,0,0,1,0,182,70,102,242
ENSG00000019485,49,48,61,67,168,52,82,216
ENSG00000019505,14,18,21,15,28,8,12,33
ENSG00000019549,785,990,455,501,726,224,213,604
ENSG00000019582,5,8,7,12,7,1,3,6
ENSG00000019991,0,0,0,0,69,16,16,49
ENSG00000019995,1701,1821,1254,1505,1143,312,241,688
ENSG00000020129,882,1203,1216,1599,299,116,150,336
ENSG00000020181,4,6,17,12,33,18,40,110
ENSG00000020219,0,1,0,0,1,0,0,0
ENSG00000020256,1413,1497,1308,1695,698,282,334,947
ENSG00000020426,1115,1150,1169,1249,2183,698,841,2180
ENSG00000020577,165,138,69,107,5473,1742,838,2086
ENSG00000020633,0,0,3,5,3,1,1,5
ENSG00000020922,1308,1602,2002,1909,328,132,215,506
ENSG00000021300,10752,11652,8874,12459,312,112,150,363
ENSG00000021355,0,0,4,1,719,238,168,507
ENSG00000021461,22,32,45,48,0,0,0,0
ENSG00000021488,17,14,6,10,1,1,0,2
ENSG00000021574,922,1149,1026,1110,1008,350,395,987
ENSG00000021645,78,53,83,95,222,63,78,210
ENSG00000021762,1370,1552,2533,3490,59,20,43,107
ENSG00000021776,2901,3526,3563,3750,2435,788,886,2440
ENSG00000021826,2021,2227,2600,2658,491,162,235,626
ENSG00000021852,0,0,0,0,0,0,0,1
ENSG00000022267,6,6,1,2,1464,450,406,1087
ENSG00000022277,1864,2164,2076,2508,1149,381,465,1202
ENSG00000022355,0,0,1,0,1,1,3,3
ENSG00000022556,1194,1457,1663,2235,0,0,0,0
ENSG00000022567,335,365,381,533,32,12,43,87
ENSG00000022840,3566,4195,3293,4445,1410,503,464,1190
ENSG00000022976,490,594,699,785,54,27,42,136
ENSG00000023041,3069,3058,2530,2786,1446,494,498,1490
ENSG00000023171,16,8,11,6,3613,1034,1155,3116
ENSG00000023191,1035,1115,1177,1981,910,332,409,1005
ENSG00000023228,6190,7264,7792,8709,2294,745,870,2459
ENSG00000023287,4530,4699,3988,4104,1469,436,384,1115
ENSG00000023318,3643,4558,6158,6643,2111,803,605,1690
ENSG00000023330,4356,5184,3079,3627,356,115,128,400
ENSG00000023445,587,736,1277,1306,627,169,165,475
ENSG00000023516,4882,5641,4297,4639,639,228,270,741
ENSG00000023572,1205,1539,1260,1324,153,39,65,159
ENSG00000023608,1015,1159,735,697,2382,699,769,2006
ENSG00000023697,760,850,995,1215,655,265,269,661
ENSG00000023734,13550,15225,16438,19394,1696,505,725,1921
ENSG00000023839,18,20,16,12,22,4,7,27
ENSG00000023892,614,693,813,1183,377,161,254,718
ENSG00000023902,150,132,47,120,436,140,185,463
ENSG00000023909,1570,1924,2129,2097,1865,532,553,1397
ENSG00000024048,1760,2258,1816,1850,2003,603,806,2188
ENSG00000024422,3,3,1,0,20,6,5,18
ENSG00000024526,733,886,1123,995,3482,1158,1278,3497
ENSG00000024862,304,310,405,505,296,117,113,299
ENSG00000025039,1264,1409,742,962,1058,350,306,805
ENSG00000025156,1347,1419,991,1051,430,124,146,415
ENSG00000025293,2981,3470,2998,3303,1220,409,483,1291
ENSG00000025423,111,117,88,127,13,4,8,23
ENSG00000025434,381,408,582,907,78,33,83,155
ENSG00000025708,214,208,279,542,72,31,43,114
ENSG00000025770,347,363,425,571,218,85,138,292
ENSG00000025772,2705,3204,2731,4008,5094,1955,2103,6216
ENSG00000025796,14643,16433,14957,16304,2928,851,813,2577
ENSG00000025800,3697,4144,3925,5352,1630,515,784,2238
ENSG00000026025,1762,2126,1628,1983,13549,4789,1690,4647
ENSG00000026036,45,59,24,37,16,1,24,53
ENSG00000026103,420,451,713,822,338,116,185,446
ENSG00000026297,639,649,700,850,96,50,47,104
ENSG00000026508,19,9,12,14,19797,6330,5978,17894
ENSG00000026559,161,168,240,374,291,122,177,475
ENSG00000026652,15,13,11,7,365,136,123,299
ENSG00000026751,0,0,1,6,30,7,5,12
ENSG00000026950,620,617,1031,1052,349,106,383,961
ENSG00000027001,1251,1505,1212,1687,843,277,339,926
ENSG00000027075,718,762,545,625,336,101,158,482
ENSG00000027644,1,0,0,3,3,0,4,2
ENSG00000027697,1050,1282,1094,1199,902,294,231,708
ENSG00000027847,595,732,554,862,237,92,109,321
ENSG00000027869,6,9,9,9,317,127,113,307
ENSG00000028116,689,825,965,1057,322,112,144,418
ENSG00000028137,3,8,9,24,3,1,5,5
ENSG00000028203,4779,5004,5599,6749,1377,495,473,1278
ENSG00000028277,30,36,16,12,180,72,62,214
ENSG00000028310,1103,1204,1164,1494,322,106,183,463
ENSG00000028528,3493,3949,4033,4959,1105,416,488,1194
ENSG00000028839,1258,1313,753,969,396,157,175,470
ENSG00000029153,714,738,322,431,5583,1873,1734,4791
ENSG00000029363,12501,14589,10770,11138,3790,1163,1215,3406
ENSG00000029364,3258,3920,3304,4112,6315,2217,2196,5920
ENSG00000029534,367,328,257,277,22,6,25,56
ENSG00000029559,59,115,4,7,0,0,0,0
ENSG00000029639,311,308,309,347,233,71,95,260
ENSG00000029725,3977,4517,4081,4401,542,148,189,651
ENSG00000029993,2605,2829,2412,3144,1097,400,445,1167
ENSG00000030066,2325,2894,2837,2635,1812,596,865,2114
ENSG00000030110,201,267,213,323,210,81,96,260
ENSG00000030304,9,9,9,4,1,4,1,8
ENSG00000030419,200,212,248,225,444,145,88,220
ENSG00000030582,1714,1935,1441,2211,5706,2345,1079,3128
ENSG00000031003,2155,2915,2261,2439,1086,323,201,596
ENSG00000031081,80,59,48,48,928,282,397,1105
ENSG00000031691,409,545,453,413,505,198,187,509
ENSG00000031698,8015,8639,10355,16169,2681,893,1088,3129
ENSG00000031823,2628,3245,2324,3047,1483,500,690,1863
ENSG00000032219,1813,1904,1412,1490,1465,398,394,1055
ENSG00000032389,363,446,510,761,158,41,87,182
