"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000079387",831.536541516615,0.365562113400159,0.14186018480894,2.57691835022283,0.00996854946923476,0.0345126873628095
"ENSG00000110844",328.341033488213,0.463281069814687,0.17977929085356,2.57694347115906,0.00996782504362504,0.0345126873628095
"ENSG00000179364",847.862349416845,0.360596156384204,0.139943617091121,2.57672456864831,0.00997413922647956,0.034517631180943
"ENSG00000227500",1752.59897282117,-0.330723542061735,0.128351837114399,-2.57669503995463,0.00997499124620322,0.034517631180943
"ENSG00000203965",466.481875478074,-0.43680856069118,0.169575641632288,-2.57589212982821,0.00999818324329961,0.0345891922304001
"ENSG00000006283",13.9790814048676,2.0144865709615,0.782307125118393,2.5750584473542,0.0100223149096068,0.0346639673424708
"ENSG00000106367",2762.45929789398,-0.298713942751192,0.116022134199276,-2.57462892587488,0.0100347680201634,0.0346896110644314
"ENSG00000144579",715.674550372365,0.407451956916332,0.158253797886075,2.57467411435934,0.0100334572226923,0.0346896110644314
"ENSG00000163531",201.518264834853,-0.572196576201757,0.222269424993228,-2.57433777146447,0.0100432172910949,0.0347101051408348
"ENSG00000121578",776.805873864462,0.358755951045755,0.139409247720551,2.57340138413836,0.0100704341270815,0.0347954347542749
"ENSG00000100410",565.406646798109,-0.38599438623793,0.150058645183106,-2.57229022537774,0.0101028160342857,0.0348985634661515
"ENSG00000102024",1498.72342171491,0.30671496873052,0.119265821357963,2.5716920844401,0.0101202856982412,0.034950141404335
"ENSG00000180914",52.9279028700072,-1.03517923728122,0.402651101056171,-2.57090874597362,0.0101432050303109,0.035020509042716
"ENSG00000167291",2390.21696710288,0.339731722376953,0.132150551481991,2.57079307325669,0.0101465933571727,0.0350234254035875
"ENSG00000198169",404.99020530719,0.443793977660853,0.172645490529998,2.57055064860638,0.0101536978167369,0.035039164220213
"ENSG00000130803",912.773157035705,0.346939446986066,0.134985566771925,2.57019661644465,0.010164080985766,0.0350662067384145
"ENSG00000112981",215.27289609364,-0.568408543616421,0.221195479156973,-2.56971139637553,0.0101783270324649,0.0351065593461948
"ENSG00000120727",3518.6220515179,0.289831189179985,0.112838953801673,2.5685384294629,0.010212838760182,0.0352079561564712
"ENSG00000172534",3824.37599562117,0.276476315783138,0.107636914458043,2.56860127564237,0.0102109870247889,0.0352079561564712
"ENSG00000115290",85.7112853463582,-0.819395462629951,0.319038475065583,-2.5683280440126,0.0102190398517618,0.0352205155741948
"ENSG00000179832",541.875666275215,0.402250140983767,0.156644037673507,2.56792500345386,0.0102309287966007,0.0352526673174161
"ENSG00000167528",618.503012884402,0.393180016093797,0.1531878921142,2.56665204192957,0.0102685596852259,0.0353734796862334
"ENSG00000067704",4184.35912233297,0.304984031928715,0.118854712671101,2.56602388811186,0.0102871743282989,0.0354287402016877
"ENSG00000143756",2489.82679411575,0.32641452586786,0.12723084901106,2.56552973123275,0.0103018392215237,0.0354703736537035
"ENSG00000172888",1359.68765793558,0.334927490426851,0.130563051076204,2.5652547766471,0.0103100069913262,0.0354896215658925
"ENSG00000111647",1276.59204359218,0.383936064447768,0.14970347943365,2.56464356005789,0.0103281843719014,0.0355433068274706
"ENSG00000149639",3760.03040468989,-0.27418510635833,0.106930795841986,-2.56413603021807,0.0103432998113782,0.0355864305604362
"ENSG00000170954",658.229431729918,-0.439125876032439,0.171290503123074,-2.56363235571164,0.0103583198898028,0.0356292047371209
"ENSG00000129292",1626.14243783233,0.338448851317478,0.132031025484346,2.56340394294374,0.0103651377821645,0.0356348519656987
"ENSG00000185033",347.949093496947,0.509846273924626,0.198888600775647,2.5634765991428,0.0103629686344087,0.0356348519656987
"ENSG00000100350",2539.26448832756,0.281605198083081,0.109864251700805,2.56321045038362,0.0103709164653059,0.0356458184749868
"ENSG00000158711",3693.11591036472,0.302681178312922,0.118091233852159,2.56311301389107,0.0103738275053605,0.0356469256105086
"ENSG00000140688",591.941823828894,-0.397674205327105,0.155184660353299,-2.56258707801238,0.0103895530719676,0.0356920549520762
"ENSG00000148459",214.531842883819,-0.558621023490951,0.218011023455192,-2.56235219044217,0.0103965830973893,0.0357072967493023
"ENSG00000108828",1722.94245047385,0.401944008705526,0.156903715043482,2.56172397571427,0.0104154059406768,0.0357630235404437
"ENSG00000182197",118.072221017782,-0.698545682955946,0.272702804510624,-2.5615639861479,0.0104202044596048,0.0357705797068807
"ENSG00000150977",259.666402839541,0.543007710695596,0.211994836231575,2.5614195154378,0.0104245392161408,0.035776540495275
"ENSG00000104064",668.648241384574,-0.420606236626928,0.164228864903621,-2.56109811678821,0.0104341883442643,0.0358007324475891
"ENSG00000197724",1405.4657464594,0.308427128817965,0.120452384155629,2.56057305116904,0.0104499691205864,0.0358459453964511
"ENSG00000198034",45127.0621958543,-0.25312081920085,0.098892059920536,-2.55956665686045,0.0104802755318725,0.0359409498875101
"ENSG00000157693",1040.40013654794,0.330505974532354,0.129184677634058,2.5583991893263,0.0105155304254058,0.0360528731143954
"ENSG00000182459",34.6801940527678,-1.24114875232621,0.485160279373722,-2.5582241685745,0.010520824741869,0.0360620452752788
"ENSG00000101346",2094.73112491222,-0.292316957759791,0.114311696530138,-2.55719201650306,0.0105520952318672,0.0361602287823743
"ENSG00000169504",2947.2031343948,-0.293847206915197,0.114916101538475,-2.55705861042296,0.0105561429829049,0.0361650989628308
"ENSG00000141642",181.407600178033,-0.609822402835839,0.238524688036969,-2.55664270166165,0.0105687711772555,0.0361993558058783
"ENSG00000128708",2160.49278870854,-0.321633710307708,0.12586327840911,-2.55542136175939,0.0106059322927917,0.0363176030190125
"ENSG00000104979",1218.42453469943,-0.360498066296722,0.141100372091478,-2.55490514272354,0.0106216739456799,0.0363601334704261
"ENSG00000197912",1537.704841146,0.312810989060161,0.122438539117234,2.55484091296326,0.010623634029452,0.0363601334704261
"ENSG00000121350",199.112084516332,-0.578162847081574,0.226368986894927,-2.55407268907352,0.01064710267323,0.036431400772292
"ENSG00000113658",2038.1892858015,0.322207681347317,0.126168924336646,2.55378004561247,0.0106560548232909,0.0364439192404103
"ENSG00000162378",1010.02635787301,0.337612917475463,0.132197105190796,2.55386013928365,0.0106536040417842,0.0364439192404103
"ENSG00000270170",918.816224893183,-0.349481305614918,0.136904256992005,-2.55274242958951,0.0106878501238096,0.0365435829040811
"ENSG00000285053",354.256856775737,0.445824857504401,0.174658597122935,2.55255031729473,0.0106937461993775,0.0365546651984183
"ENSG00000214717",704.610518131328,-0.369642684219436,0.144835359808559,-2.55215773764103,0.0107058037684075,0.0365867987310011
"ENSG00000119314",2178.24228307802,0.323337903757595,0.126710063244773,2.55179340517719,0.0107170045754413,0.0366159890816999
"ENSG00000085365",4359.90889453227,0.284239346049554,0.111396696141868,2.55159583626757,0.0107230828652233,0.0366276675691539
"ENSG00000120896",468.35145399115,-0.423936504024871,0.166180425335552,-2.55106161371809,0.0107395337965767,0.0366747621143514
"ENSG00000177156",3564.56267120609,-0.277279939599166,0.108701241788931,-2.55084426852796,0.010746233176892,0.0366885406924439
"ENSG00000100129",1492.15782469932,-0.316201315551532,0.123968602917947,-2.55065644129926,0.010752025697372,0.0366992171113326
"ENSG00000140044",583.536509555335,-0.45637005135855,0.178931302772079,-2.55053221145922,0.01075585842353,0.0367032006526853
"ENSG00000272391",1236.73531347197,0.336160449792176,0.131829623239393,2.54996139359159,0.010773484854463,0.0367542400795594
"ENSG00000147684",1182.33411516445,-0.409068754271198,0.160438649235094,-2.54968959300936,0.0107818868755707,0.0367646855843817
"ENSG00000177888",1025.11366887015,0.389659499019562,0.152825682735973,2.54969905609878,0.0107815942504733,0.0367646855843817
"ENSG00000173915",4034.78658224884,-0.297639663670427,0.116740581731539,-2.54958180999038,0.010785220325117,0.0367669469315513
"ENSG00000139116",1208.16903391337,-0.374603467469272,0.146961123695609,-2.54899702757556,0.0108033221054234,0.0368195401162314
"ENSG00000162961",1024.96153074242,-0.329038635303,0.129095422704995,-2.54880171898046,0.0108093738433731,0.0368310488615204
"ENSG00000047346",1452.33432139177,-0.35905493011009,0.140897723376095,-2.54833734361821,0.0108237748565606,0.0368618738560431
"ENSG00000198435",836.875057564454,0.35115194411398,0.13779372928576,2.54838842038851,0.0108221900509453,0.0368618738560431
"ENSG00000042753",1053.07936271672,-0.333732470879142,0.13102388216752,-2.54711175823999,0.0108618641284934,0.0369824449023803
"ENSG00000143156",831.752737074776,-0.34816296211813,0.136705201970584,-2.54681575462686,0.0108710812993308,0.037004676986523
"ENSG00000161905",2171.69000345551,-0.289062602714962,0.113516877516849,-2.54642841697313,0.0108831529943852,0.0370366123528646
"ENSG00000141934",482.703713741229,0.42555163377032,0.167131257303901,2.54621212474051,0.0108898991015302,0.0370504128314726
"ENSG00000144426",827.849082756911,0.406172610044119,0.159533428062855,2.54600314790508,0.0108964205728955,0.0370634424081518
"ENSG00000167552",2426.06574874201,1.71229786469874,0.67277380722602,2.54513158257287,0.0109236566659091,0.0371469075408502
"ENSG00000101365",1428.40680445066,0.322649121918426,0.126781894585333,2.54491481590269,0.0109304399315109,0.0371576046861577
"ENSG00000147789",638.446145468872,0.373996343157301,0.146961541506282,2.54485860262505,0.0109321996211508,0.0371576046861577
"ENSG00000203667",45.8116361257092,1.08051150531615,0.424718150340106,2.5440671759634,0.0109570010262881,0.0372327115328136
"ENSG00000214113",324.17071973922,-0.46035399167029,0.181031222326409,-2.54295356212227,0.0109919836736869,0.0373423694061176
"ENSG00000137343",566.293465923914,0.386981362486483,0.152237030103741,2.5419660526928,0.0110230879085389,0.0374295677959735
"ENSG00000143067",309.567954072837,0.477104013319838,0.187690613442065,2.54197055766514,0.0110229458350794,0.0374295677959735
"ENSG00000165898",370.264522470062,-0.4374851344094,0.172147591607476,-2.54133752511006,0.0110429257588138,0.0374876836225611
"ENSG00000066651",508.264730345912,0.448740456607075,0.176588816139742,2.54116011657255,0.0110485309382201,0.0374974667213095
"ENSG00000174307",347.707906447564,-0.537873476727947,0.211710419828412,-2.5406093718197,0.0110659476907659,0.0375473222656863
"ENSG00000120071",1396.20010340979,0.318542219770692,0.125392597324464,2.54035905282701,0.0110738718380864,0.0375649522883991
"ENSG00000184731",106.080583459246,0.723945314605218,0.285023910541425,2.53994590569622,0.0110869615314654,0.0376000919524008
"ENSG00000198692",1603.80491511462,-0.31110770558874,0.122502033425049,-2.53961258348489,0.0110975321571309,0.0376266733000578
"ENSG00000241685",405.471605197631,-0.432963019717351,0.170528799564112,-2.53894369059095,0.0111187717275029,0.0376894061831581
"ENSG00000172239",1899.70843083702,0.324701081925122,0.127893552162682,2.53883856093152,0.0111221132248557,0.0376914538501201
"ENSG00000164291",264.241197594757,0.510100355509996,0.200943246290331,2.5385294849521,0.0111319422280014,0.0377154804471828
"ENSG00000111052",327.69998446218,0.489150384326584,0.192837609399745,2.53659224385319,0.0111937248454317,0.0379154729143295
"ENSG00000162613",7835.50564524468,-0.305034400543292,0.120265840258257,-2.53633450602654,0.0112019675484694,0.0379340607906726
"ENSG00000143164",6081.60657799696,0.302990806412571,0.119468674321803,2.53615274575182,0.0112077836572099,0.0379444241888674
"ENSG00000145781",695.39181907176,-0.364980566649132,0.143963999070936,-2.53522109002608,0.0112376376360196,0.0380361437095264
"ENSG00000103266",693.993100890433,-0.410238334022034,0.161828491206459,-2.53501921054591,0.0112441159640359,0.0380487177952348
"ENSG00000114248",23.6294037746346,-1.52072926104325,0.600134524042519,-2.53398063287475,0.011277496447332,0.0381464897044904
"ENSG00000234284",360.524647907947,0.498029570447581,0.196542941129156,2.53394788734898,0.0112785503367696,0.0381464897044904
"ENSG00000198815",3595.28860139478,0.272124401544623,0.10740373000585,2.53365876147691,0.0112878594250704,0.0381685993182207
"ENSG00000007047",250.910263270325,0.524102072748543,0.206946411746116,2.53254969886367,0.0113236316177021,0.0382801580515936
"ENSG00000116698",3811.59070706397,0.286691650140179,0.113238953790936,2.53174054106393,0.0113497940184491,0.038359183564071
"ENSG00000178691",3315.67434175821,0.307826497023376,0.121703232888756,2.52932062457822,0.0114283574040657,0.038615227753762
"ENSG00000109079",1018.18223746588,0.34449309833407,0.136235800827786,2.52865323388483,0.0114501092130337,0.0386786143111246
"ENSG00000167792",2820.67642607569,-0.298570588985421,0.118078702753759,-2.52857274023461,0.0114527351693264,0.0386786143111246
"ENSG00000180776",1996.70855157842,0.342736427799676,0.135612267288803,2.52732613834836,0.0114934715452281,0.0388066723163917
"ENSG00000151366",545.22588660258,-0.465791065912615,0.184321482622069,-2.52705793858912,0.0115022525508534,0.0388267995520226
"ENSG00000149527",164.845682560167,0.611503713280323,0.242121301766535,2.52560889446218,0.0115497981031755,0.038977737765349
"ENSG00000196531",5882.70014218103,-0.2568128316014,0.101728810341975,-2.52448476236073,0.0115868027960523,0.0390930379070923
"ENSG00000170516",32.8579562065349,-1.3611553209459,0.539340603598652,-2.52373975158525,0.0116113853280834,0.0391663803484517
"ENSG00000128309",800.971402039739,0.381231483694061,0.151088273322838,2.52323674968119,0.0116280086423499,0.039206402841922
